Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1,1,1,"KIPCHOGE, Eliud (KEN)",–,,M,18-39,Elite M,01:01:37,02:02:37
2,2,2,"GEREMEW, Mosinet (ETH)",–,,M,18-39,Elite M,01:01:37,02:02:55
3,3,3,"WASIHUN, Mule (ETH)",–,,M,18-39,Elite M,01:01:37,02:03:16
4,4,4,"KITATA, Tola Shura (ETH)",–,,M,18-39,Elite M,01:01:37,02:05:01
5,5,5,"FARAH, Mo (GBR)",–,,M,18-39,Elite M,01:01:38,02:05:39
6,6,6,"TOLA, Tamirat (ETH)",–,,M,18-39,Elite M,01:01:37,02:06:57
7,7,7,"ABDI, Bashir (BEL)",–,6,M,18-39,Elite M,01:03:20,02:07:03
8,8,8,"GEBRESILASIE, Leul (ETH)",–,,M,18-39,Elite M,01:01:37,02:07:15
9,9,9,"RACHIK, Yassine (ITA)",–,9,M,18-39,Elite M,01:03:20,02:08:05
10,10,10,"HAWKINS, Callum (GBR)",–,5,M,18-39,Elite M,01:03:21,02:08:14
11,11,11,"WANJIRU, Daniel (KEN)",–,,M,18-39,Elite M,01:01:38,02:08:40
12,12,12,"KIPSANG, Wilson (KEN)",–,,M,18-39,Elite M,01:01:38,02:09:18
13,13,13,"ROBINSON, Brett (AUS)",–,7,M,18-39,Elite M,01:03:25,02:10:55
14,14,14,"RAYNER, Jack (AUS)",–,8,M,18-39,Elite M,01:05:07,02:11:06
15,15,15,"DA SILVA, Daniel Chaves (BRA)",–,4,M,18-39,Elite M,01:05:08,02:11:10
16,16,16,"GRIFFITHS, Dewi (GBR)",–,3,M,18-39,Elite M,01:03:25,02:11:46
17,17,17,"OLEFIRENKO, Ihor (UKR)",–,7,M,18-39,Elite M,01:05:08,02:11:55
18,18,18,"SZOST, Henryk (POL)",–,1,M,18-39,Elite M,01:03:31,02:13:13
19,19,19,"MELLOR, Jonathan (GBR)",–,3,M,18-39,Elite M,01:05:08,02:13:25
20,20,20,"AYALA, Derlis (PAR)",–,6,M,18-39,Elite M,01:05:08,02:13:34
21,21,21,"GRIFFITHS, Joshua (GBR)",–,8,M,18-39,Elite M,01:06:34,02:14:25
22,22,22,"DE BOCK, Thomas (BEL)",–,3,M,18-39,Elite M,01:06:34,02:14:45
23,23,23,"SIMPSON, Robbie (GBR)",–,0,M,18-39,Elite M,01:06:35,02:14:56
24,24,24,"LEAK, Colin (USA)",–,7,M,18-39,Elite M,01:06:37,02:15:02
25,25,25,"CLOHISEY, Mick (IRL)",–,9,M,18-39,Elite M,01:06:34,02:15:06
32,1,1,"KOSGEI, Brigid (KEN)",–,05,W,18-39,Elite W,01:11:38,02:18:20
35,2,2,"CHERUIYOT, Vivian (KEN)",–,01,W,18-39,Elite W,01:11:38,02:20:14
36,3,3,"DEREJE, Roza (ETH)",–,06,W,18-39,Elite W,01:11:39,02:20:51
37,4,4,"CHERONO, Gladys (KEN)",–,04,W,18-39,Elite W,01:11:40,02:20:52
38,5,5,"KEITANY, Mary (KEN)",–,02,W,18-39,Elite W,01:11:40,02:20:58
42,6,6,"SISSON, Emily (USA)",–,33,W,18-39,Elite W,01:11:49,02:23:08
43,7,1,"DIVER, Sinead (AUS)",–,13,W,40-44,Elite W,01:11:22,02:24:11
44,8,7,"ROCHA, Carla Salome (POR)",–,14,W,18-39,Elite W,01:12:10,02:24:47
45,9,8,"DIBABA, Birhane (ETH)",–,07,W,18-39,Elite W,01:11:39,02:25:04
46,10,9,"PURDUE, Charlotte (GBR)",–,20,W,18-39,Elite W,01:12:35,02:25:38
47,11,10,"MASAI, Linet (KEN)",–,11,W,18-39,Elite W,01:11:42,02:26:06
48,12,11,"HUDDLE, Molly (USA)",–,15,W,18-39,Elite W,01:11:49,02:26:33
49,13,12,"ANDO, Yuka (JPN)",–,09,W,18-39,Elite W,01:12:44,02:26:47
50,14,13,"FISIKOVICI, Lilia (MDA)",–,19,W,18-39,Elite W,01:12:37,02:27:26
51,15,14,"ICHIYAMA, Mao (JPN)",–,12,W,18-39,Elite W,01:11:51,02:27:27
52,16,15,"JONES, Tish (GBR)",–,26,W,18-39,Elite W,01:14:29,02:31:00
53,17,16,"PARTRIDGE, Lily (GBR)",–,21,W,18-39,Elite W,01:13:44,02:31:53
54,18,17,"CARRUTHERS, Hayley (GBR)",–,29,W,18-39,Elite W,01:13:43,02:33:59
55,19,18,"BARLOW, Tracy (GBR)",–,22,W,18-39,Elite W,01:15:49,02:36:26
56,20,19,"SAMUELS, Sonia (GBR)",–,16,W,18-39,Elite W,01:15:49,02:36:50
57,21,20,"COCKRAM, Natasha (GBR)",–,27,W,18-39,Elite W,01:17:08,02:40:31
